"company_name","industry","symbol","yahoo_symbol","series","isin_code"
"ACC Ltd.","CEMENT & CEMENT PRODUCTS","ACC","ACC.NS","EQ","INE012A01025"
"Ambuja Cements Ltd.","CEMENT & CEMENT PRODUCTS","AMBUJACEM","AMBUJACEM.NS","EQ","INE079A01024"
"Asian Paints Ltd.","CONSUMER GOODS","ASIANPAINT","ASIANPAIN.NS","EQ","INE021A01026"
"Axis Bank Ltd.","FINANCIAL SERVICES","AXISBANK","AXISBANK.NS","EQ","INE238A01034"
"Bajaj Auto Ltd.","AUTOMOBILE","BAJAJ-AUTO","BAJAJ-AUT.NS","EQ","INE917I01010"
"Bank of Baroda","FINANCIAL SERVICES","BANKBARODA","BANKBAROD.NS","EQ","INE028A01039"
"Bharat Heavy Electricals Ltd.","INDUSTRIAL MANUFACTURING","BHEL","BHEL.NS","EQ","INE257A01026"
"Bharat Petroleum Corporation Ltd.","ENERGY","BPCL","BPCL.NS","EQ","INE029A01011"
"Bharti Airtel Ltd.","TELECOM","BHARTIARTL","BHARTIART.NS","EQ","INE397D01024"
"Cairn India Ltd.","ENERGY","CAIRN","CAIRN.NS","EQ","INE910H01017"
"Cipla Ltd.","PHARMA","CIPLA","CIPLA.NS","EQ","INE059A01026"
"Coal India Ltd.","METALS","COALINDIA","COALINDIA.NS","EQ","INE522F01014"
"DLF Ltd.","CONSTRUCTION","DLF","DLF.NS","EQ","INE271C01023"
"Dr. Reddy's Laboratories Ltd.","PHARMA","DRREDDY","DRREDDY.NS","EQ","INE089A01023"
"GAIL (India) Ltd.","ENERGY","GAIL","GAIL.NS","EQ","INE129A01019"
"Grasim Industries Ltd.","CEMENT & CEMENT PRODUCTS","GRASIM","GRASIM.NS","EQ","INE047A01013"
"HCL Technologies Ltd.","IT","HCLTECH","HCLTECH.NS","EQ","INE860A01027"
"HDFC Bank Ltd.","FINANCIAL SERVICES","HDFCBANK","HDFCBANK.NS","EQ","INE040A01026"
"Hero MotoCorp Ltd.","AUTOMOBILE","HEROMOTOCO","HEROMOTOC.NS","EQ","INE158A01026"
"Hindalco Industries Ltd.","METALS","HINDALCO","HINDALCO.NS","EQ","INE038A01020"
"Hindustan Unilever Ltd.","CONSUMER GOODS","HINDUNILVR","HINDUNILV.NS","EQ","INE030A01027"
"Housing Development Finance Corporation Ltd.","FINANCIAL SERVICES","HDFC","HDFC.NS","EQ","INE001A01036"
"I T C Ltd.","CONSUMER GOODS","ITC","ITC.NS","EQ","INE154A01025"
"ICICI Bank Ltd.","FINANCIAL SERVICES","ICICIBANK","ICICIBANK.NS","EQ","INE090A01021"
"IDFC Ltd.","FINANCIAL SERVICES","IDFC","IDFC.NS","EQ","INE043D01016"
"IndusInd Bank Ltd.","FINANCIAL SERVICES","INDUSINDBK","INDUSINDB.NS","EQ","INE095A01012"
"Infosys Ltd.","IT","INFY","INFY.NS","EQ","INE009A01021"
"Jindal Steel & Power Ltd.","METALS","JINDALSTEL","JINDALSTE.NS","EQ","INE749A01030"
"Kotak Mahindra Bank Ltd.","FINANCIAL SERVICES","KOTAKBANK","KOTAKBANK.NS","EQ","INE237A01028"
"Larsen & Toubro Ltd.","CONSTRUCTION","LT","LT.NS","EQ","INE018A01030"
"Lupin Ltd.","PHARMA","LUPIN","LUPIN.NS","EQ","INE326A01037"
"Mahindra & Mahindra Ltd.","AUTOMOBILE","M&M","M&M.NS","EQ","INE101A01026"
"Maruti Suzuki India Ltd.","AUTOMOBILE","MARUTI","MARUTI.NS","EQ","INE585B01010"
"NMDC Ltd.","METALS","NMDC","NMDC.NS","EQ","INE584A01023"
"NTPC Ltd.","ENERGY","NTPC","NTPC.NS","EQ","INE733E01010"
"Oil & Natural Gas Corporation Ltd.","ENERGY","ONGC","ONGC.NS","EQ","INE213A01029"
"Power Grid Corporation of India Ltd.","ENERGY","POWERGRID","POWERGRID.NS","EQ","INE752E01010"
"Punjab National Bank","FINANCIAL SERVICES","PNB","PNB.NS","EQ","INE160A01022"
"Reliance Industries Ltd.","ENERGY","RELIANCE","RELIANCE.NS","EQ","INE002A01018"
"Sesa Sterlite Ltd.","METALS","SSLT","SSLT.NS","EQ","INE205A01025"
"State Bank of India","FINANCIAL SERVICES","SBIN","SBIN.NS","EQ","INE062A01020"
"Sun Pharmaceutical Industries Ltd.","PHARMA","SUNPHARMA","SUNPHARMA.NS","EQ","INE044A01036"
"Tata Consultancy Services Ltd.","IT","TCS","TCS.NS","EQ","INE467B01029"
"Tata Motors Ltd.","AUTOMOBILE","TATAMOTORS","TATAMOTOR.NS","EQ","INE155A01022"
"Tata Power Co. Ltd.","ENERGY","TATAPOWER","TATAPOWER.NS","EQ","INE245A01021"
"Tata Steel Ltd.","METALS","TATASTEEL","TATASTEEL.NS","EQ","INE081A01012"
"Tech Mahindra Ltd.","IT","TECHM","TECHM.NS","EQ","INE669C01028"
"UltraTech Cement Ltd.","CEMENT & CEMENT PRODUCTS","ULTRACEMCO","ULTRACEMC.NS","EQ","INE481G01011"
"Wipro Ltd.","IT","WIPRO","WIPRO.NS","EQ","INE075A01022"
"Zee Entertainment Enterprises Ltd.","MEDIA & ENTERTAINMENT","ZEEL","ZEEL.NS","EQ","INE256A01028"
"American Airlines Group Inc.",NULL,NULL,"AAL",NULL,NULL
