EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN
DATA=
TIMEZONE_OFFSET=330
a1433389560,1451.35,1460.05,1448,1460.05
1,1452.8,1455.95,1452.25,1452.55
2,1454,1455.85,1451.5,1454.05
3,1452.8,1454.2,1451.8,1453.05
4,1453.05,1455.4,1453.05,1455.4
5,1454.5,1454.75,1452.85,1453.95
6,1456,1456,1453.9,1454.5
7,1458.9,1459.75,1456,1456
8,1461,1461,1457.85,1458.15
9,1461.6,1461.65,1459.6,1460.9
10,1462,1463.45,1461,1462.5
11,1464.85,1465.15,1462,1463
12,1459,1464.95,1459,1464.95
13,1458.4,1458.4,1455.05,1457.6
14,1455.3,1459.6,1455.3,1457.9
15,1456.9,1456.9,1454,1455.15
16,1457.4,1458,1456.15,1457
17,1454.95,1456.5,1454.1,1456.5
18,1454.95,1454.95,1454.9,1454.95
19,1455,1455.95,1455,1455.85
20,1456.2,1456.95,1456.2,1456.95
21,1452,1456.95,1452,1456.95
22,1454.05,1454.2,1453,1453
23,1454.95,1454.95,1453.5,1453.85
24,1454.05,1455.3,1454,1454
25,1455.3,1455.3,1454.95,1454.95
26,1456.8,1457,1456.25,1456.25
27,1458.65,1458.65,1457.05,1457.05
28,1456,1458.35,1456,1457.8
29,1455,1455.2,1455,1455
30,1454.7,1456.75,1454.7,1455
31,1455.65,1455.65,1454.2,1455.5
32,1455,1456.75,1455,1456.5
33,1456.6,1457,1455.7,1456.95
34,1456.75,1456.75,1455.95,1456.45
35,1455,1457,1455,1456.75
36,1452.35,1454.25,1451.7,1454.25
37,1452.35,1453.25,1452.05,1452.35
38,1449.05,1453,1449,1452.35
39,1450.5,1453,1448.8,1449.05
40,1451.85,1451.9,1450,1450
41,1451,1451.85,1451,1451.8
42,1449.65,1451.35,1448.65,1451.3
43,1451.15,1451.15,1448.75,1450
44,1442,1450,1441.55,1449.1
45,1441.2,1444,1440.4,1443.5
46,1441.1,1443.15,1440.1,1440.5
47,1441.5,1443,1441.1,1441.1
48,1441.25,1442.35,1441.25,1441.5
49,1439.95,1440.85,1438,1440.65
50,1442.55,1442.55,1439.2,1439.2
51,1442.55,1443.3,1442.55,1442.6
52,1441,1443,1441,1442.55
53,1440,1441.4,1440,1440.5
54,1438.4,1440.4,1436.1,1440.4
55,1441.7,1441.7,1439.1,1439.1
56,1441.95,1441.95,1440.95,1440.95
57,1441.4,1442,1441.4,1442
58,1441.5,1442,1441.4,1441.45
59,1442.95,1443,1441,1441
60,1443.35,1445,1441.9,1442.95
61,1442,1444.05,1442,1443.3
62,1442.05,1443.25,1441.75,1443
63,1442,1442.55,1441,1442.05
64,1442,1443,1442,1442
65,1442.15,1443.1,1442,1443
66,1441.95,1443,1440.9,1443
67,1441.75,1442,1441.75,1441.9
68,1441.65,1442.6,1441.6,1442.4
69,1442.85,1442.85,1441.65,1441.65
70,1443.3,1443.3,1442.1,1442.1
71,1446.9,1446.9,1443.3,1443.3
72,1449.9,1450,1446.1,1446.9
73,1450.5,1450.5,1449,1449.9
74,1450,1451.5,1450,1451.15
75,1449.8,1450.2,1449.75,1450
76,1451.8,1452.25,1450.5,1450.5
77,1453.05,1453.05,1452,1452
78,1450.15,1453.35,1450,1453.3
79,1449,1451.8,1447.55,1451
80,1451.15,1451.85,1448.65,1450
81,1448.55,1449.75,1448.55,1449.75
82,1449.6,1450.65,1448.55,1448.55
83,1450.8,1451,1449.25,1450.6
84,1450,1450.7,1449.25,1450
85,1449.95,1450.4,1449.25,1450
86,1449,1450.6,1449,1449.3
87,1448.35,1449,1448.35,1449
88,1448.35,1448.35,1448.35,1448.35
89,1449.7,1449.9,1449,1449
90,1451.9,1451.9,1449.7,1449.7
91,1451.3,1452,1450.5,1451.9
92,1452.05,1452.5,1452,1452
93,1450.8,1452.9,1450.8,1452.9
94,1450.5,1451,1450.5,1450.8
95,1449,1450,1448.55,1450
96,1448.7,1449.5,1448.7,1448.75
97,1447.15,1448.95,1447.15,1448.7
98,1448,1448,1447.15,1447.15
99,1447.4,1448.85,1447.3,1448.85
100,1448.7,1449.5,1448.65,1448.65
101,1449.5,1451.25,1449.45,1449.5
102,1452,1452,1449.5,1449.55
103,1448,1452,1448,1452
104,1450,1450,1448.25,1448.25
105,1448.85,1450.45,1448.8,1448.8
106,1450.85,1450.85,1450.7,1450.7
107,1450.35,1451,1450.35,1451
108,1450.5,1450.9,1449.2,1449.2
109,1450,1450,1449.7,1449.7
110,1450.85,1450.85,1450,1450
111,1449.7,1449.7,1449.7,1449.7
112,1450,1450,1449.8,1449.8
113,1450,1450,1449,1449.75
114,1449.05,1449.5,1449,1449.5
115,1449.6,1451,1449,1450
116,1450.95,1451,1449.2,1451
117,1450.15,1450.95,1450.15,1450.95
118,1450.15,1450.25,1450.15,1450.25
119,1450.5,1450.55,1450.15,1450.15
120,1449.55,1451,1449,1450.5
121,1450,1451.65,1449.15,1449.15
